SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
Cold Water,Major Lazer /and/ Justin Bieber /and/ MÃ˜,spotify:track:7zsXy7vlHdItvUSH8EwQss,2016,Pop,7/22/2016,1,6,0,0,19,0.0736,0.608,0.798,185360,0,0.501,92.943,0.156,-5.092,0.0432,4
Same Old Love,Selena Gomez,spotify:track:1BZG99C7Co1r6QUC3zaS59,2016,Pop,10/9/2015,1,11,0,0,20,0.0223,0.672,0.593,229080,0,0.438,98.02,0.214,-4.01,0.0304,4
Dangerous Woman,Ariana Grande,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,2016,Pop,5/20/2016,1,4,0,0,21,0.0529,0.664,0.602,235947,0,0.289,134.049,0.356,-5.369,0.0412,3
7 Years,Lukas Graham,spotify:track:5kqIPrATaCc2LqxVWzQGbk,2016,Pop,4/1/2016,1,10,0,1,22,0.287,0.765,0.473,237300,0,0.34,119.992,0.391,-5.829,0.0514,4
In The Night,The Weeknd,spotify:track:25KybV9BOUlvcnv7nN3Pyo,2016,Pop,8/28/2015,1,7,1,1,23,0.0796,0.505,0.68,235653,0,0.539,168.022,0.0465,-4.993,0.0714,3
Roses,The Chainsmokers /and/ ROZES,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,2016,Pop,6/16/2015,1,4,0,1,24,0.0435,0.713,0.802,226739,0.00377,0.343,100.001,0.309,-7.055,0.0561,4
Here,Alessia Cara,spotify:track:1wYZZtamWTQAoj8B812uKQ,2016,Pop,11/13/2015,1,0,0,1,25,0.0785,0.376,0.821,199453,0,0.331,120.462,0.0823,-3.974,0.104,4
Hands To Myself,Selena Gomez,spotify:track:1LoriJC05IrHIDwj3q0KC1,2016,Pop,10/9/2015,1,5,0,0,26,0.0147,0.811,0.499,200680,0.00000244,0.466,111.016,0.342,-7.161,0.118,4
Send My Love (To Your New Lover),Adele,spotify:track:0t7fVeEJxO2Xi4H2K5Svc9,2016,Pop,11/20/2015,1,6,0,0,27,0.0355,0.688,0.533,223079,0.00000348,0.567,164.069,0.172,-8.363,0.0865,4
Gold,Kiiara,spotify:track:6ZSO7kPn8IMJFymyticbJO,2016,Pop,3/22/2016,1,8,0,1,28,0.615,0.6,0.412,225882,0.0025,0.408,113.049,0.134,-9.343,0.344,5
Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,2016,Pop,6/16/2016,1,4,0,0,29,0.0841,0.732,0.396,195920,0.0000358,0.548,90.024,0.105,-9.348,0.0286,4
Never Forget You,Zara Larsson /and/ MNEK,spotify:track:6hmhG1b4LEyNuashVvuIAo,2016,Pop,3/17/2017,1,11,0,0,30,0.00312,0.583,0.732,213428,0.00000986,0.276,145.992,0.269,-5.728,0.0457,4
Let Me Love You,DJ Snake /and/ Justin Bieber,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,2016,Pop,8/5/2016,1,8,0,1,31,0.0863,0.649,0.716,205947,0.0000263,0.163,99.988,0.135,-5.371,0.0349,4
"Sit Still, Look Pretty",Daya,spotify:track:0EGuSSpuu9wmHCtvb4PdLO,2016,Pop,10/7/2016,1,2,0,1,32,0.14,0.655,0.74,202221,0,0.543,182.105,0.106,-4.081,0.274,4
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,spotify:track:7K5dzhGda2vRTaAWYI3hrb,2016,Pop,4/15/2016,1,7,0,1,33,0.0114,0.632,0.701,215414,0,0.497,162.958,0.108,-5.921,0.146,4
Close,Nick Jonas /and/ Tove Lo,spotify:track:3lSDIJ2abCrOdDJ6pshUap,2016,Pop,6/10/2016,1,6,0,0,34,0.253,0.654,0.623,234213,0,0.401,123.996,0.144,-5.273,0.082,4
Into You,Ariana Grande,spotify:track:2meEiZKWkiN28gITzFwQo5,2016,Pop,5/20/2016,1,9,0,1,35,0.0162,0.623,0.734,244453,0.00000175,0.37,107.853,0.145,-5.948,0.107,4
Hide Away,Daya,spotify:track:0uyZ5ckiIUbFZd3P6RWmrj,2016,Pop,10/7/2016,1,11,0,0,36,0.23,0.885,0.8,192376,0.00000199,0.464,95.018,0.0734,-4.714,0.0846,4
On My Mind,Ellie Goulding,spotify:track:5a7NdkF09AfD0H607eiOkX,2016,Pop,11/6/2015,1,0,0,1,37,0.258,0.702,0.705,213445,0.00000593,0.743,154.911,0.0879,-6.666,0.0543,4
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth /and/ Selena Gomez,spotify:track:37FXw5QGFN7uwwsLy8uAc0,2016,Pop,1/29/2016,1,1,0,0,38,0.621,0.728,0.563,217707,0,0.352,100.017,0.179,-8.053,0.134,4
Let It Go,James Bay,spotify:track:13HVjjWUZFaWilh2QUJKsP,2016,Pop,12/15/2014,1,1,0,1,39,0.818,0.546,0.311,260533,0.0000165,0.246,147.464,0.107,-10.396,0.0288,4
Never Be Like You (feat. Kai),Flume /and/ kai,spotify:track:5WI2ltQIdwgzf1SNE76JyR,2016,Pop,5/27/2016,1,0,1,1,40,0.453,0.444,0.557,234910,0,0.296,115.058,0.152,-5.476,0.0602,4
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor /and/ John Legend,spotify:track:2YlZnw2ikdb837oKMKjBkW,2016,Pop,1/9/2015,1,0,0,1,41,0.4,0.63,0.53,225053,0,0.417,108.038,0.177,-7.259,0.0434,3
"i hate u, i love u (feat. olivia o'brien)",gnash /and/ Olivia O'Brien,spotify:track:7vRriwrloYVaoAe3a9wJHe,2016,Pop,3/25/2016,1,6,1,0,42,0.687,0.492,0.275,251034,0,0.18,92.6,0.101,-13.4,0.3,4
Work,Rihanna /and/ Drake,spotify:track:72TFWvU3wUYdUuxejTTIzt,2016,Pop,1/28/2016,1,11,1,1,43,0.0752,0.725,0.534,219320,0,0.558,91.974,0.0919,-6.238,0.0946,4
One Call Away,Charlie Puth,spotify:track:7soJgKhQTO8hLP2JPRkL5O,2016,Pop,1/29/2016,1,1,0,1,44,0.403,0.667,0.613,194453,0,0.47,91.024,0.115,-5.353,0.0344,4
Stitches,Shawn Mendes,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,2016,Pop,4/14/2015,1,1,0,1,45,0.0151,0.752,0.754,206880,0,0.755,149.789,0.0486,-6.684,0.0615,4
Too Good,Drake /and/ Rihanna,spotify:track:3BtuIIrQlkujKPuWF2B85z,2016,Pop,5/6/2016,1,7,1,1,46,0.0489,0.794,0.653,263373,0.0000488,0.397,117.996,0.1,-7.839,0.104,4
NO,Meghan Trainor,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,2016,Pop,5/12/2017,1,1,0,0,47,0.0124,0.557,0.803,213507,0.00000161,0.657,92.134,0.737,-3.599,0.213,4
Hotline Bling,Drake,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,2016,Pop,5/6/2016,1,2,0,1,48,0.00258,0.891,0.628,267067,0.00019,0.552,134.966,0.0504,-7.863,0.0551,4
Middle,DJ Snake /and/ Bipolar Sunshine,spotify:track:0g5EKLgdKvNlln7TNqBByK,2016,Pop,8/5/2016,1,9,0,1,49,0.0141,0.583,0.695,220573,0,0.224,104.879,0.0527,-5.336,0.0423,4
Wild Things,Alessia Cara,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,2016,Pop,11/13/2015,1,1,0,0,50,0.02,0.741,0.626,188493,0,0.706,108.029,0.0828,-4.826,0.0886,4
Shape of You,Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3,2017,Pop,3/3/2017,1,1,0,0,1,0.581,0.825,0.652,233713,0,0.931,95.977,0.0931,-3.183,0.0802,4
That's What I Like,Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,2017,Pop,11/17/2016,1,1,0,1,2,0.013,0.853,0.56,206693,0,0.86,134.066,0.0944,-4.961,0.0406,4
Stay,Zedd /and/ Alessia Cara,spotify:track:6uBhi9gBXWjanegOb2Phh0,2017,Pop,2/23/2017,1,5,0,0,3,0.253,0.69,0.622,210091,0,0.544,102.04,0.116,-5.025,0.0622,4
There's Nothing Holdin' Me Back,Shawn Mendes,spotify:track:7JJmb5XwzOO8jgpou264Ml,2017,Pop,4/20/2017,1,11,0,0,4,0.38,0.866,0.813,199440,0,0.969,121.998,0.0779,-4.063,0.0554,4
Attention,Charlie Puth,spotify:track:5cF0dROlMOK5uNZtivgu50,2017,Pop,5/11/2018,1,3,0,0,6,0.109,0.775,0.613,208787,0.0000233,0.797,100.066,0.134,-4.586,0.0542,4
Despacito - Remix,Luis Fonsi /and/ Daddy Yankee /and/ Justin Bieber,spotify:track:6rPO02ozF3bM7NnOV4h6s2,2017,Pop,4/17/2017,1,2,0,1,7,0.228,0.653,0.816,228827,0,0.816,178.085,0.0967,-4.353,0.167,4
Slow Hands,Niall Horan,spotify:track:2cOUlop2ZakjOKe4WinesN,2017,Pop,10/20/2017,1,0,0,1,8,0.011,0.735,0.425,188174,0,0.848,85.896,0.055,-6.648,0.0464,4
Scars To Your Beautiful,Alessia Cara,spotify:track:0prNGof3XqfTvNDxHonvdK,2017,Pop,11/13/2015,1,0,0,1,10,0.0285,0.573,0.739,230227,0,0.451,97.085,0.111,-5.74,0.129,4
Something Just Like This,The Chainsmokers /and/ Coldplay,spotify:track:6RUKPb4LETWmmr3iAEQktW,2017,Pop,4/7/2017,1,11,0,0,11,0.0498,0.617,0.635,247160,0.0000144,0.446,103.019,0.164,-6.769,0.0317,4
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5 /and/ Kendrick Lamar,spotify:track:1nueTG77MzNkJTKQ0ZdGzT,2017,Pop,6/15/2018,1,7,0,1,13,0.343,0.783,0.61,214265,0,0.418,100.047,0.0983,-6.124,0.0696,4
Love On The Brain,Rihanna,spotify:track:5oO3drDxtziYU2H1X23ZIp,2017,Pop,1/28/2016,1,4,1,0,14,0.0717,0.509,0.637,224000,0.0000108,0.378,172.006,0.0789,-4.83,0.0471,3
Believer,Imagine Dragons,spotify:track:0pqnGHJpmpxLKifKRmU6WP,2017,Pop,6/23/2017,1,10,0,0,15,0.0622,0.776,0.78,204347,0,0.666,124.949,0.081,-4.374,0.128,4
Side To Side,Ariana Grande /and/ Nicki Minaj,spotify:track:1pKeFVVUOPjFsOABub0OaV,2017,Pop,5/20/2016,1,6,1,0,16,0.0528,0.65,0.736,226160,0,0.613,159.173,0.235,-5.84,0.229,4
I Feel It Coming,The Weeknd /and/ Daft Punk,spotify:track:23Gv9vq4FurPK6np6xX0Bi,2017,Pop,2/5/2021,1,0,0,0,17,0.415,0.773,0.815,269177,0,0.559,92.973,0.087,-5.933,0.128,4
Issues,Julia Michaels,spotify:track:7vu0JkJh0ldukEYbTVcqd0,2017,Pop,7/28/2017,1,8,0,1,19,0.401,0.728,0.415,176320,0,0.455,114.145,0.0616,-6.852,0.0639,4
Paris,The Chainsmokers,spotify:track:15vzANxN8G9wWfwAJLLMCg,2017,Pop,1/13/2017,1,2,0,1,20,0.0243,0.646,0.644,221520,0,0.251,99.999,0.0888,-6.763,0.031,4
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled /and/ Justin Bieber /and/ Quavo /and/ Chance the Rapper /and/ Lil Wayne,spotify:track:1jYiIOC5d6soxkJP81fxq2,2017,Pop,6/22/2017,1,7,1,1,21,0.0533,0.599,0.667,288877,0,0.817,80.984,0.134,-4.267,0.0367,4
Closer,The Chainsmokers /and/ Halsey,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,2017,Pop,7/29/2016,1,8,0,1,22,0.414,0.748,0.524,244960,0,0.661,95.01,0.111,-5.599,0.0338,4
Now Or Never,Halsey,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,2017,Pop,6/2/2017,1,6,0,0,23,0.107,0.67,0.585,214802,0.00000111,0.447,110.03,0.131,-4.861,0.0354,4
Say You Won't Let Go,James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh,2017,Pop,10/28/2016,1,10,0,1,24,0.695,0.358,0.557,211467,0,0.494,85.043,0.0902,-7.398,0.059,4
Mercy,Shawn Mendes,spotify:track:0AS63m1wHv9n4VVRizK6Hc,2017,Pop,4/20/2017,1,11,0,0,25,0.125,0.555,0.662,208733,0,0.356,148.128,0.111,-4.952,0.0827,4
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit /and/ Sean Paul /and/ Anne-Marie,spotify:track:5knuzwU65gJK7IF5yJsuaW,2017,Pop,10/21/2016,1,9,0,0,26,0.406,0.72,0.763,251088,0,0.742,101.965,0.18,-4.068,0.0523,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled /and/ Rihanna /and/ Bryson Tiller,spotify:track:45XhKYRRkyeqoW3teSOkCM,2017,Pop,6/22/2017,1,8,1,1,27,0.0287,0.613,0.681,204664,0,0.619,97.621,0.126,-3.089,0.0778,4
Starboy,The Weeknd /and/ Daft Punk,spotify:track:38JOdzBE9kPj5UhKtqIIqQ,2017,Pop,2/5/2021,1,7,1,1,28,0.137,0.676,0.588,230461,0.00000847,0.484,186.012,0.137,-7.025,0.275,4
Sorry Not Sorry,Demi Lovato,spotify:track:7gvd8xj4QgPqbQSsn5pV7d,2017,Pop,9/29/2017,1,11,1,0,29,0.0237,0.705,0.64,203760,0,0.887,144.077,0.262,-6.928,0.225,4
Feel It Still,Portugal. The Man,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,2017,Pop,6/16/2017,1,1,0,0,30,0.0417,0.801,0.795,163253,0.000113,0.754,79.028,0.0717,-5.115,0.0504,4
Castle on the Hill,Ed Sheeran,spotify:track:6PCUP3dWmTjcTtXY02oFdT,2017,Pop,3/3/2017,1,2,0,1,31,0.0232,0.461,0.834,261154,0.0000114,0.471,135.007,0.14,-4.868,0.0989,4
1-800-273-8255,Logic /and/ Alessia Cara /and/ Khalid,spotify:track:5tz69p7tJuGPeMGwNTxYuV,2017,Pop,5/5/2017,1,5,1,0,32,0.569,0.62,0.574,250173,0,0.357,100.023,0.19,-7.788,0.0479,4
No Promises (feat. Demi Lovato),Cheat Codes /and/ Demi Lovato,spotify:track:5lNuqFVMca4vPupY10cH0J,2017,Pop,3/31/2017,1,10,0,1,33,0.0572,0.739,0.619,222787,0,0.58,112.961,0.105,-6.669,0.162,4
Starving,Hailee Steinfeld /and/ Grey /and/ Zedd,spotify:track:4Ce37cRWvM1vIGGynKcs22,2017,Pop,7/22/2016,1,4,0,1,34,0.378,0.728,0.616,181880,0,0.508,99.962,0.105,-4.238,0.0645,4
24K Magic,Bruno Mars,spotify:track:6b8Be6ljOzmkOmFslEb23P,2017,Pop,11/17/2016,1,1,0,1,35,0.034,0.818,0.803,225983,0,0.632,106.97,0.153,-4.282,0.0797,4
Let Me Love You,DJ Snake /and/ Justin Bieber,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,2017,Pop,8/5/2016,1,8,0,1,36,0.0863,0.649,0.716,205947,0.0000263,0.163,99.988,0.135,-5.371,0.0349,4
Unforgettable,French Montana /and/ Swae Lee,spotify:track:3B54sVLJ402zGa6Xm4YGNe,2017,Pop,7/14/2017,1,6,1,1,37,0.0293,0.726,0.769,233902,0.0101,0.733,97.985,0.104,-5.043,0.123,4
Cold (feat. Future),Maroon 5 /and/ Future,spotify:track:7gwLQ4tZ5UdZ7qNcDyJ8wr,2017,Pop,6/15/2018,1,9,1,0,38,0.14,0.693,0.717,234308,0,0.412,99.836,0.0464,-6.346,0.107,4
Praying,Kesha,spotify:track:0jdny0dhgjUwoIp5GkqEaA,2017,Pop,8/11/2017,1,10,0,1,39,0.489,0.543,0.39,230267,0,0.303,73.415,0.111,-7.202,0.0322,4
All Time Low,Jon Bellion,spotify:track:0SuLAslEMFZAXf0SwY7syi,2017,Pop,6/10/2016,1,0,1,1,40,0.0584,0.617,0.567,217603,0,0.505,90.246,0.0933,-4.188,0.0828,4
Look What You Made Me Do,Taylor Swift,spotify:track:1P17dC1amhFzptugyAO7Il,2017,Pop,11/10/2017,1,9,0,0,41,0.204,0.766,0.709,211853,0.0000141,0.506,128.07,0.126,-6.471,0.123,4
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris /and/ Pharrell Williams /and/ Katy Perry /and/ Big Sean /and/ Funk Wav,spotify:track:5bcTCxgc7xVfSaMV3RuVke,2017,Pop,6/30/2017,1,11,1,0,42,0.0642,0.893,0.745,223413,0,0.872,101.018,0.0943,-3.105,0.0571,4
Body Like A Back Road,Sam Hunt,spotify:track:7mldq42yDuxiUNn08nvzHO,2017,Pop,2/1/2017,1,5,0,1,43,0.447,0.732,0.458,165387,0,0.661,98.938,0.136,-7.225,0.0311,4
Chained To The Rhythm,Katy Perry /and/ Skip Marley,spotify:track:7qvxFz3JodM0A7xEM7k3YD,2017,Pop,6/9/2017,1,0,0,1,44,0.0814,0.562,0.8,237733,0,0.471,95.029,0.199,-5.404,0.112,4
What Lovers Do (feat. SZA),Maroon 5 /and/ SZA,spotify:track:2j5hsQvApottzvTn4pFJWF,2017,Pop,6/15/2018,1,5,0,0,45,0.0788,0.799,0.597,199849,0.00000566,0.419,110.001,0.1,-5.131,0.0611,4
This Town,Niall Horan,spotify:track:0qvzXomUDJVaUboy2wMfiS,2017,Pop,10/20/2017,1,9,0,1,46,0.712,0.677,0.401,232852,0,0.195,111.825,0.116,-8.467,0.0308,4
What About Us,P!nk,spotify:track:0Qh38w01QRXK6KHIv0e3hb,2017,Pop,10/13/2017,1,1,0,1,47,0.0285,0.489,0.588,269600,0.00000211,0.187,113.617,0.0906,-6.177,0.0507,4
Down,Marian Hill,spotify:track:5eCkuGPZNl4mISFNPgr3Dd,2017,Pop,6/24/2016,1,0,0,0,48,0.675,0.678,0.357,197773,0.00569,0.0661,113.301,0.124,-14.712,0.128,5
Slide (feat. Frank Ocean & Migos),Calvin Harris /and/ Frank Ocean /and/ Migos,spotify:track:6gpcs5eMhJwax4mIfKDYQk,2017,Pop,2/24/2017,1,1,1,0,49,0.498,0.736,0.795,230813,0.00000121,0.511,104.066,0.254,-3.299,0.0545,4
Water Under the Bridge,Adele,spotify:track:4jL6WWKFDqCOPo2hC3VhSS,2017,Pop,11/20/2015,1,5,0,0,50,0.0142,0.59,0.833,240439,0.0000054,0.538,94.963,0.105,-6.503,0.0615,4
New Rules,Dua Lipa,spotify:track:2ekn2ttSfGqwhhate0LSR0,2018,Pop,6/2/2017,1,9,0,0,1,0.00261,0.762,0.7,209320,0.0000156,0.608,116.073,0.153,-6.021,0.0694,4
The Middle,Zedd /and/ Maren Morris /and/ Grey,spotify:track:09IStsImFySgyp0pIQdqAc,2018,Pop,1/23/2018,1,7,0,1,2,0.171,0.753,0.657,184732,0,0.437,107.01,0.112,-3.061,0.0449,4
Girls Like You (feat. Cardi B),Maroon 5 /and/ Cardi B,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,2018,Pop,6/15/2018,1,0,1,1,3,0.568,0.851,0.541,235545,0,0.448,124.959,0.13,-6.825,0.0505,4
Perfect,Ed Sheeran,spotify:track:0tgVpDi06FyKpA1z0VMD4v,2018,Pop,3/3/2017,1,8,0,1,4,0.163,0.599,0.448,263400,0,0.168,95.05,0.106,-6.312,0.0232,3
Never Be the Same,Camila Cabello,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,2018,Pop,1/12/2018,1,0,0,1,5,0.181,0.637,0.713,226973,0.000637,0.243,129.923,0.137,-4.333,0.0747,4
Love Lies (with Normani),Khalid /and/ Normani,spotify:track:45Egmo7icyopuzJN0oMEdk,2018,Pop,2/14/2018,1,6,0,1,6,0.0956,0.708,0.648,201707,0,0.338,143.955,0.134,-5.626,0.0449,4
Better Now,Post Malone,spotify:track:7dt6x5M1jzdTEt8oCbisTK,2018,Pop,4/27/2018,1,10,1,1,7,0.331,0.68,0.578,231267,0,0.341,145.038,0.135,-5.804,0.04,4
Mine,Bazzi,spotify:track:7uzmGiiJyRfuViKKK3lVmR,2018,Pop,4/12/2018,1,4,1,1,8,0.0161,0.71,0.789,131064,0.00000277,0.717,142.929,0.451,-3.874,0.0722,4
Havana (feat. Young Thug),Camila Cabello /and/ Young Thug,spotify:track:1rfofaqEpACxVEHIZBJe6W,2018,Pop,1/12/2018,1,2,0,1,9,0.184,0.765,0.523,217307,0.0000356,0.394,104.988,0.132,-4.333,0.03,4
Back To You - From 13 Reasons Why â€“ Season 2 Soundtrack,Selena Gomez,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,2018,Pop,5/10/2018,1,6,0,1,10,0.0945,0.601,0.724,207905,0.00000168,0.508,102.061,0.12,-4.856,0.0486,4
FRIENDS,Marshmello /and/ Anne-Marie,spotify:track:08bNPGLD8AhKpnnERrAc6G,2018,Pop,2/9/2018,1,9,1,0,11,0.205,0.626,0.88,202621,0,0.534,95.079,0.128,-2.384,0.0504,4
Psycho (feat. Ty Dolla $ign),Post Malone /and/ Ty Dolla $ign,spotify:track:3swc6WTsr7rl9DqQKQA55C,2018,Pop,4/27/2018,1,8,1,1,12,0.546,0.75,0.56,221440,0,0.459,140.06,0.111,-8.094,0.105,4
Youngblood,5 Seconds of Summer,spotify:track:2iUXsYOEPhVqEBwsqP70rE,2018,Pop,6/15/2018,1,7,0,0,13,0.0169,0.596,0.854,203418,0,0.152,120.274,0.124,-5.114,0.463,4
no tears left to cry,Ariana Grande,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,2018,Pop,8/17/2018,1,9,0,0,14,0.04,0.699,0.713,205920,0.00000311,0.354,121.993,0.294,-5.507,0.0594,4
Let You Down,NF,spotify:track:52okn5MNA47tk87PeZJLEL,2018,Pop,10/6/2017,1,5,0,0,15,0.312,0.662,0.714,212120,0,0.464,147.997,0.179,-5.68,0.121,4
Bad At Love,Halsey,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,2018,Pop,6/2/2017,1,0,0,1,16,0.0604,0.675,0.751,181279,0,0.612,118.384,0.0893,-3.539,0.0296,4
Meant to Be (feat. Florida Georgia Line),Bebe Rexha /and/ Florida Georgia Line,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,2018,Pop,8/11/2017,1,10,0,1,17,0.047,0.643,0.783,163870,0,0.579,154.084,0.083,-6.458,0.0856,4
Delicate,Taylor Swift,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,2018,Pop,11/10/2017,1,9,0,0,18,0.216,0.75,0.404,232253,0.000357,0.0499,95.045,0.0911,-10.178,0.0682,4
Him & I (with Halsey),G-Eazy /and/ Halsey,spotify:track:5k38wzpLb15YgncyWdTZE4,2018,Pop,12/15/2017,1,2,1,1,19,0.0534,0.589,0.731,268867,0,0.191,87.908,0.308,-6.343,0.0868,4
I Like It,Cardi B /and/ Bad Bunny /and/ J Balvin,spotify:track:58q2HKrzhC3ozto2nDdN4z,2018,Pop,4/6/2018,1,5,1,0,21,0.099,0.816,0.726,253390,0,0.65,136.048,0.372,-3.998,0.129,4
I Like Me Better,Lauv,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,2018,Pop,5/31/2018,1,9,0,1,22,0.535,0.752,0.505,197437,0.00000255,0.419,91.97,0.104,-7.621,0.253,4
Pray For Me,The Weeknd /and/ Kendrick Lamar,spotify:track:6huNf4dutXRjJyGn7f5BPS,2018,Pop,2/5/2021,1,2,1,1,23,0.0867,0.732,0.678,211421,0.0000241,0.196,100.626,0.112,-4.977,0.0886,4
Lights Down Low,MAX,spotify:track:5A6BJLZArq1MPjsnmcuk5f,2018,Pop,4/8/2016,1,5,0,0,24,0.0632,0.623,0.493,223847,0,0.594,81.019,0.104,-7.727,0.0338,4
God's Plan,Drake,spotify:track:6DCZcSspjsKoFjzjrWoCdn,2018,Pop,6/29/2018,1,7,1,1,26,0.0332,0.754,0.449,198973,0.0000829,0.357,77.169,0.552,-9.211,0.109,4
God is a woman,Ariana Grande,spotify:track:5OCJzvD7sykQEKHH7qAC3C,2018,Pop,8/17/2018,1,1,1,1,27,0.0233,0.602,0.658,197547,0.00006,0.268,145.031,0.237,-5.934,0.0558,4
Wait,Maroon 5,spotify:track:6AvfZXpbb6r35DfF7gHPRq,2018,Pop,6/15/2018,1,8,0,1,28,0.0959,0.655,0.603,190643,0,0.452,126.088,0.107,-5.014,0.0555,4
How Long,Charlie Puth,spotify:track:6wmAHw1szh5RCKSRjiXhPe,2018,Pop,5/11/2018,1,1,0,0,29,0.211,0.845,0.561,200853,0.00000349,0.811,109.974,0.0383,-5.253,0.0778,4
In My Blood,Shawn Mendes,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,2018,Pop,5/25/2018,1,5,0,1,30,0.0573,0.622,0.712,211360,0,0.487,140.025,0.13,-7.321,0.066,4
Whatever It Takes,Imagine Dragons,spotify:track:6Qn5zhYkTa37e91HC1D7lb,2018,Pop,6/23/2017,1,10,0,0,31,0.0362,0.672,0.655,201240,0,0.556,134.945,0.117,-5.021,0.0311,4
rockstar (feat. 21 Savage),Post Malone /and/ 21 Savage,spotify:track:0e7ipj03S05BNilyu5bRzt,2018,Pop,4/27/2018,1,5,1,0,32,0.124,0.585,0.52,218147,0.0000701,0.129,159.801,0.131,-6.136,0.0712,4
One Kiss (with Dua Lipa),Calvin Harris /and/ Dua Lipa,spotify:track:7ef4DlsgrMEH11cDZd32M6,2018,Pop,4/6/2018,1,9,0,0,33,0.037,0.791,0.862,214847,0.0000219,0.592,123.994,0.0814,-3.24,0.11,4
Thunder,Imagine Dragons,spotify:track:1zB4vmk8tFRmM9UULNzbLB,2018,Pop,6/23/2017,1,0,0,1,34,0.00671,0.605,0.822,187147,0.134,0.288,167.997,0.147,-4.833,0.0438,4
In My Feelings,Drake,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,2018,Pop,6/29/2018,1,1,1,1,35,0.0589,0.835,0.626,217925,0.00006,0.35,91.03,0.396,-5.833,0.125,4
No Brainer,DJ Khaled /and/ Justin Bieber /and/ Quavo /and/ Chance the Rapper,spotify:track:5WvAo7DNuPRmk4APhdPzi8,2018,Pop,7/27/2018,1,0,1,1,36,0.0733,0.552,0.76,260000,0,0.639,135.702,0.0865,-4.706,0.342,5
Too Good At Goodbyes,Sam Smith,spotify:track:3VlbOrM6nYPprVvzBZllE5,2018,Pop,11/3/2017,1,5,0,1,38,0.64,0.681,0.372,201000,0,0.476,91.873,0.169,-8.237,0.0432,4
Lie,NF,spotify:track:07FkzikE6FuHIa8Ma7zJGc,2018,Pop,10/6/2017,1,5,0,1,39,0.161,0.513,0.661,209213,0,0.179,94.791,0.246,-6.419,0.24,4
Good Old Days (feat. Kesha),Macklemore /and/ Kesha,spotify:track:2Za1AlJNvksouPPWbXpR2X,2018,Pop,9/22/2017,1,8,0,1,40,0.446,0.712,0.51,240507,0.0000246,0.268,122.964,0.112,-8.162,0.0633,4
Lucid Dreams,Juice WRLD,spotify:track:285pBltuF7vW8TeWk8hdRR,2018,Pop,12/10/2018,1,6,1,0,41,0.349,0.511,0.566,239836,0,0.218,83.903,0.34,-7.23,0.2,4
What Lovers Do (feat. SZA),Maroon 5 /and/ SZA,spotify:track:2j5hsQvApottzvTn4pFJWF,2018,Pop,6/15/2018,1,5,0,0,42,0.0788,0.799,0.597,199849,0.00000566,0.419,110.001,0.1,-5.131,0.0611,4
IDGAF,Dua Lipa,spotify:track:76cy1WJvNGJTj78UqeA5zr,2018,Pop,6/2/2017,1,7,1,1,43,0.0403,0.836,0.544,217947,0,0.51,97.028,0.0824,-5.975,0.0943,4
Nice For What,Drake,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,2018,Pop,6/29/2018,1,8,1,1,44,0.0891,0.585,0.909,210747,0.000097,0.758,93.372,0.119,-6.474,0.0707,4
